source,target,value
j.rath,i.ibarra,2
j.nicholls,i.ibarra,2
j.uitermark,i.ibarra,2
i.ibarra,j.ustubici,1
j.ustubici,i.ibarra,1
i.ibarra,j.tzaninis,1
j.tzaninis,i.ibarra,1,
i.ibarra,j.cantinho,1
j.cantinho,i.ibarra,1,
i.ibarra,j.wilki,1
j.wilki,i.ibarra,1
i.ibarra,j.slootman,1,
j.slootman,i.ibarra,,1
i.ibarra,j.hansen,1
j.hansen,i.ibarra,,1
i.ibarra,j.gnes,2
j.gnes,i.ibarra,2
i.ibarra,j.vermeulen,1
j.vermeulen,i.ibarra,1
i.ibarra,j.vanhaperen,1
j.vanhaperen,i.ibarra,1
i.ibarra,j.hanani,2
j.hanani,i.ibarra,2
s.waterloo,v.devries,1
v.devries,s.waterloo,1
s.waterloo,v.luif,2
v.luif,s.waterloo,2
n.johannes,s.waterloo,1
h.werner,s.waterloo,1
l.schacht,s.waterloo,1
j.lemmens,s.waterloo,2
s.waterloo,j.lemmens,2
e.zwinkels,s.waterloo,1
s.waterloo,e.zwinkels,1
k.zoon,s.waterloo,1
s.waterloo,k.zoon,1
s.waterloo,r.rogers,1
r.rogers,s.waterloo,1
n.sanchez,s.waterloo,1
s.waterloo,n.sanchez,1
l.bounegru,s.waterloo,1
s.waterloo,l.bounegru,1
a.forster,r.joosten,2
r.joosten,a.forster,2
b.torenvliet,r.joosten,2
r.joosten,b.torenvliet,2
m.vanroeden,r.joosten,2
r.joosten,m.vanroeden,2
a.damstra,r.joosten,2
r.joosten,a.damstra,2
w.schakel,r.joosten,2
r.joosten,w.schakel,2
s.vanderveen,r.joosten,2
r.joosten,s.vanderveen,2
b.vanderent,r.joosten,1
r.joosten,bvanderent,1
r.joosten,m.chocklÏ†k,1
m.vandam,r.joosten,1
r.joosten,m.vandam,1
m.kranendonk,r.joosten,1
r.joosten,l.vandenberg,2
l.vandenberg,r.joosten,2
m.verhoeven,r.joosten,2
r.joosten,m.verhoeven,2
m.saltenyte,r.joosten,1
r.joosten,m.saltenyte,1
r.salimi,r.joosten,1
r.joosten,r.salimi,1
l.deblok,r.joosten,2
r.joosten,l.deblok,2
j.rutters,r.joosten,1
r.joosten,j.rutters,1
k.deridder,r.joosten,2
r.joosten,k.deridder,2
t.kaldenbach,s.waterloo,2
s.waterloo,t.kaldenbach,2
t.kaldenbach,r.vandodijk,1
r.vanodijk,t.kaldenbach,1
t.kaldenbach,c.escobedo,1
c.escobedo,t.kaldenbach,1
t.kaldenbach,s.renooij,1
s.renooij,t.kaldenbach,1
t.kaldenbach,s.xiao,1
s.xiao,t.kaldenbach,1
d.ottavana,t.kaldenbach,1
t.kaldenbach,n.bricic,1
n.bricic,t.kaldenbach,1
t.kaldenbach,s.coventry,1
s.coventry,t.kaldenbach,1
t.kaldenbach,h.klatau,1
h.klatau,t.kaldenbach,1
t.kaldenbach,j.li,1
j.li,t.kaldenbach,1
t.kaldenbach,r.feinholdt,1
r.feinholdt,t.kaldenbach,1
t.kaldenbach,s.opree,2
s.opree,t.kaldenbach,1
t.kaldenbach,j.peter,1
t.kaldenbach,s.sumter,1
t.kaldenbach,p.bruggeman,1
t.kaldenbach,m.vanselm,2
m.vanselm,t.kaldenbach,1
t.kaldenbach,d.trilling,1
t.kaldenbach,p.schafraad,1
t.kaldenbach,m.vanegmond,1
t.kaldenbach,j.geerdes,2
j.geerdes,t.kaldenbach,2
t.kaldenbach,a.laan,2
a.laan,t.kaldenbach,2,
t.kaldenbach,i.dekker,2
i.dekker,t.kaldenbach,2
i.kleinschmidt,g.debruijn,2
g.debruijn,i.kleinschmidt,1
i.kleinschmidt,j.piotrowski,2
i.kleinschmidt,m.poehner,2
m.poehner,i.kleinschmidt,2
i.kleinschmidt,s.coventry,1
s.coventry,i.kleinschmidt,1
i.kleinschmidt,s.siegmund,2
s.siegmund,i.kleinschmidt,2
i.kleinschmidt,s.giani,1
s.giani,i.kleinschmidt,1
i.kleinschmidt,s.juliao,1
s.juliao,i.kleinschmidt,1
i.kleinschmidt,m.emelianova,1
m.emelianova,i.kleinschmidt,1
i.kleinschmidt,b.gebeyehu,1
b.gebeyehu,i.kleinschmidt,1
i.kleinschmidt,a.vandenberg,1
a.vandenberg,i.kleinschmidt,1
i.kleinschmidt,m.mocking,2
m.mocking,i.kleinschmidt,2
i.kleinschmidt,l.bos,2
i.kleinschmidt,r.vliegenthart,2
i.kleinschmidt,m.vandeutekom,2
m.vandeutekom,i.kleinschmidt,2
i.kleinschmidt,g.demirel,1
i.kleinschmidt,p.zhong,1
c.rackow,i.kleinschmidt,1
k.vanhoose,e.kuilder,1
p.moran,k.vanhoose,1
k.denijs,k.vanhoose,1
k.vanhoose,w.salet,2
k.vanhoose,e.engelen,2
j.houtzagers,k.vanhoose,1
k.vanhoose,m.marcus,1
k.vanhoose,k.denijs,1
k.vanhoose,w.gelmers,1
k.vanhoose,k.schonfield,1
k.schonfield,k.vanhoose,2
p.moran,k.vanhoose,1
k.denijs,k.vanhoose,1
k.vanhoose,y.ntoane,2
k.vanhoose,e.engelen,2
j.houtzagers,k.vanhoose,1
e.kuilder,k.vanhoose,1
k.vanhoose,j.zevenberg,1
k.vanhoose,j.houtzagers,1
k.vanhoose,w.mertens,1
k.vanhoose,r.vandijk,1
o.klanderman,d.dechau,2
d.dechau,o.klanderman,2
o.klanderman,r.thijssen,1
r.thijssen,o.klanderman,1
o.klanderman,c.mihu,2
c.mihu,o.klanderman,1
s.stolwijk,o.klanderman,1
o.klanderman,s.stolwijk,1
o.klanderman,n.johannes,2
n.johannes,o.klanderman,2
o.klanderman,m.boyer,2
m.boyer,o.klanderman,2
o.klanderman,m.vandeutekom,1
m.vandeutekom,o.klanderman,2
o.klanderman,h.nguyen,1
h.nguyen,o.klanderman,2
o.klanderman,y.bodnar,2
y.bodnar,o.klanderman,1
o.klanderman,f.chays,2
f.chays,o.klanderman,1
o.klanderman,w.shigang,1
w.shigang,o.klanderman,1
o.klanderman,n.jamaluddin,1
n.jamaluddin,o.klanderman,1
o.klanderman,m.hameleers,2
m.hameleers,o.klanderman,1
o.klanderman,v.wottrich,1
v.wottrich,o.klanderman,1
o.klanderman,a.penders,1
a.penders,o.klanderman,1
m.fransen,o.klanderman,2
o.klanderman,m.fransen,1
p.schafraad,o.klanderman,2
o.klanderman,p.schafraad,1
p.verlegh,o.klanderman,2
o.klanderman,p.verlegh,1
d.trilling,o.klanderman,2
o.klanderman,d.trilling,1
o.klanderman,t.araujo,1
t.araujo,o.klanderman,2
o.klanderman,t.kaldenbach,1
t.kaldenbach,o.klanderman,1
o.klanderman,i.kleinschmidt,2
i.kleinschmidt,o.klanderman,2
o.klanderman,j.bruggeman,1
j.bruggeman,o.klanderman,2
o.klanderman,m.korenhof,1
m.korenhof,o.klanderman,1
s.vanhaperen,d.gnes,2
s.vanhaperen,s.ibarra,2
d.gnes,s.vanhaperen,1
s.ibarra,s.vanhaperen,1
s.vanhaperen,n.komarova,1
n.komarova,s.vanhaperen,1,
t.rutayisire,s.vanhaperen,1
s.vanhaperen,j.uitermark,2
s.vanhaperen,w.nicholls,2
a.damstra,a.forster,2
a.forster,a.damstra,2
r.joosten,a.forster,2
a.forster,r.joosten,2
l.deblok,a.forster,2
a.forster,l.deblok,2
m.vanroeden,a.forster,2
a.forster,m.vanroeden,2
b.torenvliet,a.forster,2
a.forster,b.torenvliet,2
w.schakel,a.forster,2
a.forster,w.schakel,2
l.vandenberg,a.forster,2
a.forster,l.vandenberg,2
m.saltenyte,a.forster,1
a.forster,m.saltenyte,1
m.verhoeven,a.forster,1
a.forster,m.verhoven,1
a.vogt,a.forster,2
a.forster,a.vogt,2
s.vanderveen,a.forster,1
a.forster,s.vanderveen,1
r.everts,a.forster,1
a.forster,r.everts,1
b.vanderent,a.forster,1
a.forster,b.vanderent,1
a.forster,t.vandermeer,2
a.forster,m.kalmijn,2
a.forster,s.steinmetz,2
a.forster,h.vandewerfhorst,1
p.moran,h.wang,1
k.nijs,h.wang,2
l.keulen,h.wang,1
h.wang,y.wu,1
l.kwan,h.wang,2
y.zhang,h.wang,1,
i.mirte,j.tessa,2
j.tessa,i.mirte,1
i.mirte,j.marleen,1
j.marleen,i.mirte,1
i.mirte,j.tara,2
j.tara,i.mirte,2
i.mirte,j.britt,2
j.britt,i.mirte,1
i.mirte,j.anouk,1
j.anouk,i.mirte,1
i.mirte,j.hao,1
j.hao,i.mirte,2
i.mirte,j.dick,1
j.dick,i.mirte,1
i.mirte,j.fons,1
j.fons,i.mirte,2
i.mirte,j.philip,2
j.philip,i.mirte,2
i.mirte,j.heleen,2
j.heleen,i.mirte,2
i.mirte,j.xiaoyang,2
j.xiaoyang,i.mirte,2
i.mirte,j.damian,1
j.damian,i.mirte,2
i.mirte,j.pytrik,1
j.pytrik,i.mirte,2
i.mirte,j.gerben,1
j.gerben,i.mirte,2
i.mirte,j.ward,1
j.ward,i.mirte,1
i.mirte,j.lotte,1
j.lotte,i.mirte,2
i.mirte,j.peeter,1
j.peeter,i.mirte,2
i.mirte,j.sandra,1
j.sandra,i.mirte,2
i.mirte,j.veronica,1
j.veronica,i.mirte,1
i.mirte,j.winnie,1
j.winnie,i.mirte,1
i.mirte,j.antoon,1
j.antoon,i.mirte,1
a.ruggeri,b.torenvliet,1
b.torenvliet,a.ruggeri,1
a.damstra,b.torenvliet,2
b.torenvliet,a.damstra,2
r.joosten,b.torenvliet,2
b.torenvliet,r.joosten,2
a.forster,b.torenvliet,2
b.torenvliet,a.forster,2
w.schakel,b.torenvliet,1
w.schakel,b.torenvliet,1
m.vanroeden,b.torenvliet,2
b.torenvliet,m.vanroeden,2
i.jonnson,b.torenvliet,1
b.torenvliet,i.jonsson,1
m.vanhees,b.torenvliet,2
b.torenvliet,m.vanhees,1
a.hakhverdian,b.torenvliet,2
b.torenvliet,a.hakhverdian,1
t.vandermeer,b.torenvliet,2
b.torenvliet,t.vandermeer,1
l.deblok,b.torenvliet,1
b.torenvliet,l.deblok,1
t.stork,b.torenvliet,1
b.torenvliet,t.stork,1
r.vliegenthart,b.torenvliet,2
b.torenvliet,r.vliegenthart,1
l.bos,b.torenvliet,1
b.torenvliet,l.bos,1
s.steinmetz,b.torenvliet,2
b.torenvliet,s.steinmetz,1
p.tolochko,h.terpstra,2
h.terpstra,p.tolochko,1
p.tolochko,c.mihu,1
c.mihu,p.tolochko,1
p.verlegh,p.tolochko,2
d.trilling,p.tolochko,2
d.muntinga,ptolochko,2
s.zwier,p.tolochko,2
m.vandergoot,p.tolochko,1
p.tolochko,m.vandergoot,1
p.tolochko,y.tolochko,2
y.tolochko,p.tolochko,2
d.ottaviano,p.tolochko,1
p.tolochko,d.ottaviano,1
e.hilhorst,p.tolochko,1
p.tolochko,e.hilhorst,1
t.egei,p.tolochko,2
p.tolochko,t.egei,2
p.tolochko,c.coenen,2
p.tolochko,a.ash,1
e.dejong,p.tolochko,1
p.tolochko,e.dejong,1
w.schakel,m.vanroeden,2
m.vanroeden,w.schakel,2
w.schakel,r.joosten,1
r.joosten,w.schakel,2
w.schakel,a.forster,1
a.forster,w.schakel,1
a.damstra,w.schakel,1
w.schakel,n.baerwaldt,2
s.vaniterson,w.schakel,1
t.stork,w.schakel,1
w.schakel,a.hakhverdian,1
w.schakel,a.ruggeri,2
w.schakel,s.steinmetz,1
m.chochlik,e.engelen,1
m.chochlik,j.bader,1
m.chochlik,a.ruggeri,2
a.ruggeri,m.chochlik,2
m.chochlik,n.hearter,1
m.chochlik,j.zeitlin,2
j.zeitlin,m.chochlik,2
m.chochlik,t.harris,1
m.chochlik,s.steinmetz,1
j.maloney,m.chochlik,2
m.chochlik,j.maloney,2
m.loubarink,m.chochlik,2
m.loubarink,m.chochlik,2
m.chochlik,b.vangunst,2
b.vangunst,m.chochlik,2
r.necesany,m.chochlik,2
z.laslopova,m.chochlik,2
m.chochlik,z.laslopova,2
m.chochlik,p.brown,2
p.brown,m.chochlik,2
a.damstra,m.chochlik,1
m.vanroeden,m.chochlik,2
s.vaniterson,m.chochlik,2
m.chochlik,s.vaniterson,1
t.stork,m.chochlik,2
t.koren,m.chochlik,1




